,ST,ST_conf
"C(0, 1)",0.40036590397350635,0.40227960284841957
"C(0, 2)",0.46159944451513274,0.35567018171718345
"C(0, 3)",0.34589410346164134,0.22837429189463462
"C(1, -3)",0.65845813743704,0.5136833834908522
"C(1, -2)",0.8446019725135717,0.8756920297531757
"C(1, -1)",0.7796723175744087,0.7286807625916788
"C(1, 0)",0.5613167962188396,0.4820108576330875
"C(1, 1)",0.40993601705347393,0.2801907345051123
"C(1, 2)",0.6154484869640539,0.4348289092449117
"C(1, 3)",0.6561426497705671,0.4070448651874344
"C(2, -3)",0.5458325738420693,0.42120615752102375
"C(2, -2)",0.6799433883408986,0.5127112632297539
"C(2, -1)",0.6157944140030885,0.4930349685154791
"C(2, 0)",0.7309257799316613,0.685854434517784
"C(2, 1)",0.4749632388239657,0.2597407121096296
"C(2, 2)",0.6195481652059394,0.37139825215433786
"C(2, 3)",0.8351009177270003,0.8774280908630433
"C(3, -3)",0.4998312750756824,0.4516434185543879
"C(3, -2)",0.4597324942200399,0.36285273015972264
"C(3, -1)",0.8374066356894805,0.7577181406805226
"C(3, 0)",1.8579929350783235,1.9386132417227804
"C(3, 1)",0.40857675828581574,0.1740081129264915
"C(3, 2)",0.5209819777200746,0.30044457388130547
"C(3, 3)",0.5786118134943502,0.367920260157585
"C(4, -3)",0.6758945273663483,0.5358728644766491
"C(4, -2)",0.4016635771470047,0.3065509133537235
"C(4, -1)",1.00902101414356,0.7871402071536302
"C(4, 0)",0.4181181058710905,0.3729513029211867
"C(4, 1)",0.9091506058237964,0.8170720671572729
"C(4, 2)",0.6700667418093597,0.7286099705331165
"C(4, 3)",0.7165998300421389,0.6200143845971731
