,S1,S1_conf
"C(0, 1)",0.20415911795085614,0.28089299572275517
"C(0, 2)",-0.017715996888445995,0.35496281303115623
"C(0, 3)",0.21043278089193418,0.3052479904599481
"C(1, -3)",0.06763670294445763,0.31797717296119027
"C(1, -2)",0.17144666637728778,0.36097582135370204
"C(1, -1)",0.3894368622661682,0.34677969667015035
"C(1, 0)",0.14400013646631235,0.27857209257994625
"C(1, 1)",0.028885252700752696,0.3688988966347208
"C(1, 2)",0.19012320250585726,0.2980139134438334
"C(1, 3)",-0.06262891782191846,0.3870239749941208
"C(2, -3)",-0.026313174299998836,0.33634372556841424
"C(2, -2)",0.028023093230758734,0.40611666474405667
"C(2, -1)",0.09565414737613714,0.3711576222458931
"C(2, 0)",-0.23770280610353908,0.4144056468451342
"C(2, 1)",0.3486330110160501,0.29280622448783333
"C(2, 2)",0.25356284913978777,0.46914292433599847
"C(2, 3)",-0.08175084917586714,0.48063542201603315
"C(3, -3)",-0.30014706049258555,0.32052052578884593
"C(3, -2)",0.035247604337539123,0.31102416510577013
"C(3, -1)",0.3284813025170089,0.26556571274134827
"C(3, 0)",0.3902842213631495,1.0356270543026505
"C(3, 1)",0.35399368785889107,0.36592718027125054
"C(3, 2)",0.18027165776858953,0.5645545767000126
"C(3, 3)",0.42332733741404294,0.5335778681115216
"C(4, -3)",0.03572186507654901,0.42417863993858873
"C(4, -2)",-0.00043553981042386737,0.2678415621091737
"C(4, -1)",0.4106513709110848,0.8056747559743697
"C(4, 0)",0.021552065338530626,0.25412990615978814
"C(4, 1)",-0.10107611760773577,0.5498389127934096
"C(4, 2)",-0.07984618475372779,0.4587774765534045
"C(4, 3)",0.012602730028209812,0.3615136466356725
